2025-08-02_22-59-37 | Epoch 1 | D: 0.6216 | G: 1.8362 | G_KD: 0.4929 | D_KD: 0.1141
2025-08-02_22-59-37 | Epoch 2 | D: 0.5412 | G: 2.1702 | G_KD: 0.5178 | D_KD: 0.1237
2025-08-02_22-59-37 | Epoch 3 | D: 0.6217 | G: 2.9871 | G_KD: 0.5487 | D_KD: 0.1482
2025-08-02_22-59-37 | Epoch 4 | D: 0.2524 | G: 2.9606 | G_KD: 0.5984 | D_KD: 0.1944
2025-08-02_22-59-37 | Epoch 5 | D: 1.0708 | G: 1.6174 | G_KD: 0.6184 | D_KD: 0.1952
2025-08-02_22-59-37 | Epoch 6 | D: 0.5775 | G: 3.3074 | G_KD: 0.5330 | D_KD: 0.0565
2025-08-02_22-59-37 | Epoch 7 | D: 0.6635 | G: 1.3463 | G_KD: 0.5124 | D_KD: 0.0875
2025-08-02_22-59-37 | Epoch 8 | D: 1.3277 | G: 2.4292 | G_KD: 0.5404 | D_KD: 0.0465
2025-08-02_22-59-37 | Epoch 9 | D: 0.8728 | G: 1.8530 | G_KD: 0.5328 | D_KD: 0.1426
2025-08-02_22-59-37 | Epoch 10 | D: 0.9891 | G: 1.8305 | G_KD: 0.5022 | D_KD: 0.0534
2025-08-02_22-59-37 | Epoch 11 | D: 0.9816 | G: 1.0732 | G_KD: 0.5279 | D_KD: 0.1698
2025-08-02_22-59-37 | Epoch 12 | D: 0.8917 | G: 1.0288 | G_KD: 0.5294 | D_KD: 0.1038
2025-08-02_22-59-37 | Epoch 13 | D: 0.7325 | G: 1.9819 | G_KD: 0.5055 | D_KD: 0.0267
2025-08-02_22-59-37 | Epoch 14 | D: 0.7623 | G: 1.3045 | G_KD: 0.5199 | D_KD: 0.1031
2025-08-02_22-59-37 | Epoch 15 | D: 0.8926 | G: 1.2723 | G_KD: 0.5364 | D_KD: 0.0650
2025-08-02_22-59-37 | Epoch 16 | D: 0.8839 | G: 2.4005 | G_KD: 0.5100 | D_KD: 0.0161
2025-08-02_22-59-37 | Epoch 17 | D: 0.7016 | G: 2.2159 | G_KD: 0.5210 | D_KD: 0.0463
2025-08-02_22-59-37 | Epoch 18 | D: 0.7034 | G: 1.4748 | G_KD: 0.5235 | D_KD: 0.0396
2025-08-02_22-59-37 | Epoch 19 | D: 0.6890 | G: 1.7088 | G_KD: 0.5198 | D_KD: 0.0344
2025-08-02_22-59-37 | Epoch 20 | D: 0.8305 | G: 1.1942 | G_KD: 0.5069 | D_KD: 0.0623
2025-08-02_22-59-37 | Epoch 21 | D: 0.7381 | G: 1.5268 | G_KD: 0.5097 | D_KD: 0.0481
2025-08-02_22-59-37 | Epoch 22 | D: 1.5702 | G: 1.5508 | G_KD: 0.5241 | D_KD: 0.0529
2025-08-02_22-59-37 | Epoch 23 | D: 0.8285 | G: 1.3121 | G_KD: 0.5217 | D_KD: 0.0448
2025-08-02_22-59-37 | Epoch 24 | D: 0.7550 | G: 1.1307 | G_KD: 0.5198 | D_KD: 0.0868
2025-08-02_22-59-37 | Epoch 25 | D: 0.7086 | G: 1.2548 | G_KD: 0.5243 | D_KD: 0.0506
2025-08-02_22-59-37 | Epoch 26 | D: 1.4385 | G: 1.6833 | G_KD: 0.5288 | D_KD: 0.0354
2025-08-02_22-59-37 | Epoch 27 | D: 1.0013 | G: 1.6731 | G_KD: 0.5234 | D_KD: 0.0260
2025-08-02_22-59-37 | Epoch 28 | D: 0.6361 | G: 1.5267 | G_KD: 0.5121 | D_KD: 0.0517
2025-08-02_22-59-37 | Epoch 29 | D: 0.8492 | G: 1.6489 | G_KD: 0.5139 | D_KD: 0.0316
